学号,班级,姓名,性别,英语,体育,军训,数分,高代,解几
2308024506,23080237,郭玲,男,78.0,86.0,60.0,49.0,59.0,99.0
2308024194,23080246,刘杨,男,80.0,83.0,63.0,63.0,72.0,49.0
2308024828,23080264,袁建平,女,91.0,75.0,51.0,88.0,59.0,76.0
2308024507,23080207,马英,女,91.0,74.0,89.0,56.0,73.0,51.0
2308024280,23080273,张桂荣,男,94.0,70.0,86.0,68.0,56.0,49.0
2308024110,23080249,韩鹏,女,100.0,45.0,80.0,71.0,42.0,42.0
2308024639,23080201,侯淑英,女,73.0,43.0,77.0,59.0,43.0,80.0
2308024760,23080299,李丽华,男,94.0,93.0,93.0,75.0,75.0,79.0
2308024258,23080242,刘岩,男,53.0,56.0,100.0,75.0,60.0,44.0
2308024523,23080252,陈秀云,女,77.0,73.0,63.0,80.0,76.0,75.0
2308024054,23080203,潘勇,女,49.0,92.0,71.0,45.0,92.0,91.0
2308024640,23080246,蒋瑜,男,49.0,84.0,97.0,83.0,91.0,45.0
2308024198,23080263,李秀梅,女,62.0,96.0,88.0,93.0,94.0,66.0
2308024969,23080249,靳凤兰,女,87.0,61.0,73.0,87.0,94.0,95.0
2308024024,23080243,岑淑兰,女,49.0,59.0,85.0,83.0,85.0,58.0
2308024860,23080258,吴慧,男,64.0,45.0,74.0,59.0,47.0,65.0
2308024506,23080238,许秀梅,男,44.0,79.0,77.0,48.0,46.0,88.0
2308024753,23080218,龙桂芳,女,72.0,66.0,79.0,90.0,75.0,72.0
2308024653,23080263,柏莹,女,53.0,78.0,83.0,67.0,81.0,64.0
2308024820,23080253,马楠,男,94.0,83.0,72.0,46.0,93.0,82.0
2308024408,23080279,吴娟,女,66.0,88.0,96.0,90.0,77.0,72.0
2308024679,23080236,马丽华,男,54.0,79.0,85.0,73.0,44.0,58.0
2308024367,23080298,陈浩,男,79.0,62.0,48.0,40.0,74.0,76.0
2308024479,23080281,蒋娜,男,88.0,78.0,79.0,78.0,79.0,62.0
2308024149,23080207,刘柳,女,68.0,78.0,46.0,41.0,44.0,47.0
2308024223,23080262,崔桂英,男,63.0,59.0,80.0,46.0,100.0,72.0
2308024058,23080274,李凯,男,46.0,95.0,80.0,85.0,100.0,92.0
2308024533,23080273,韦勇,女,55.0,67.0,67.0,70.0,96.0,78.0
2308024369,23080249,毛淑珍,女,69.0,64.0,84.0,98.0,73.0,45.0
2308024890,23080243,孙丽,女,56.0,66.0,90.0,77.0,87.0,72.0
2308024201,23080212,刘彬,男,84.0,43.0,73.0,67.0,90.0,80.0
2308024259,23080232,金金凤,男,62.0,79.0,68.0,78.0,95.0,94.0
2308024966,23080264,王峰,女,92.0,49.0,50.0,52.0,84.0,46.0
2308024960,23080291,何阳,女,58.0,61.0,50.0,43.0,71.0,45.0
2308024995,23080270,刘帆,女,63.0,75.0,93.0,91.0,86.0,69.0
2308024673,23080270,陈玉,女,47.0,56.0,62.0,40.0,49.0,49.0
2308024246,23080219,潘红霞,男,40.0,79.0,96.0,94.0,60.0,83.0
2308024475,23080225,刘秀兰,男,46.0,47.0,72.0,52.0,89.0,55.0
2308024007,23080212,田雷,女,88.0,87.0,76.0,100.0,75.0,67.0
2308024820,23080226,赖玉梅,男,43.0,88.0,45.0,73.0,67.0,56.0
2308024274,23080294,温阳,男,81.0,57.0,55.0,100.0,91.0,49.0
2308024931,23080256,高岩,男,81.0,48.0,88.0,41.0,40.0,75.0
2308024247,23080219,陈欣,女,60.0,98.0,74.0,63.0,94.0,79.0
2308024747,23080225,鞠军,男,40.0,84.0,87.0,80.0,94.0,67.0
2308024622,23080204,钟海燕,男,50.0,75.0,42.0,94.0,69.0,57.0
2308024425,23080211,蒋欢,男,84.0,74.0,96.0,62.0,60.0,55.0
2308024080,23080232,吴峰,男,47.0,89.0,63.0,100.0,89.0,82.0
2308024834,23080220,童英,女,85.0,57.0,76.0,100.0,71.0,97.0
2308024724,23080225,陈想,男,44.0,88.0,95.0,87.0,69.0,47.0
2308024835,23080273,伍秀芳,男,63.0,60.0,58.0,47.0,88.0,85.0
2308024944,23080221,侯林,女,89.0,54.0,67.0,83.0,88.0,57.0
2308024907,23080262,喻小红,男,45.0,88.0,59.0,95.0,94.0,76.0
2308024033,23080209,王玲,女,69.0,84.0,83.0,72.0,63.0,48.0
2308024125,23080257,汪宁,女,57.0,68.0,84.0,90.0,67.0,51.0
2308024469,23080249,汪旭,女,70.0,45.0,98.0,44.0,55.0,54.0
2308024544,23080239,刘冬梅,女,100.0,96.0,100.0,61.0,53.0,47.0
2308024995,23080282,朱桂荣,男,64.0,95.0,43.0,67.0,53.0,65.0
2308024966,23080276,刘柳,男,59.0,81.0,51.0,69.0,55.0,79.0
2308024133,23080271,仲磊,女,82.0,59.0,99.0,56.0,76.0,80.0
2308024609,23080257,翁婷婷,女,61.0,46.0,51.0,42.0,79.0,56.0
2308024455,23080230,吴鑫,男,56.0,50.0,72.0,88.0,90.0,61.0
2308024674,23080287,徐想,男,42.0,53.0,40.0,98.0,91.0,79.0
2308024896,23080237,周莉,男,72.0,44.0,72.0,85.0,57.0,41.0
2308024166,23080230,谢超,男,78.0,80.0,42.0,50.0,52.0,89.0
2308024438,23080233,印玉珍,男,40.0,52.0,63.0,44.0,56.0,56.0
2308024032,23080266,孙玉兰,男,59.0,88.0,56.0,43.0,55.0,67.0
2308024640,23080275,魏畅,男,80.0,40.0,92.0,82.0,77.0,97.0
2308024331,23080292,徐霞,男,83.0,88.0,60.0,74.0,43.0,81.0
2308024060,23080202,龙宇,男,51.0,83.0,90.0,60.0,42.0,66.0
2308024880,23080262,林杰,女,96.0,74.0,40.0,59.0,77.0,71.0
2308024314,23080278,张鑫,男,66.0,63.0,67.0,42.0,45.0,91.0
2308024912,23080286,王玉,男,98.0,43.0,48.0,76.0,89.0,57.0
2308024700,23080245,李健,女,72.0,44.0,79.0,56.0,70.0,88.0
2308024894,23080279,袁帅,男,44.0,95.0,73.0,41.0,93.0,92.0
2308024501,23080218,陈斌,男,44.0,99.0,86.0,87.0,82.0,97.0
2308024339,23080261,张超,男,73.0,43.0,63.0,59.0,41.0,97.0
2308024008,23080203,胡宇,男,59.0,95.0,94.0,61.0,56.0,74.0
2308024982,23080257,樊玉兰,女,82.0,83.0,63.0,55.0,61.0,70.0
2308024606,23080209,陈桂芳,男,76.0,83.0,88.0,69.0,65.0,94.0
2308024387,23080287,张刚,女,92.0,49.0,49.0,41.0,70.0,86.0
2308024327,23080263,洪桂香,女,100.0,100.0,91.0,43.0,93.0,59.0
2308024287,23080274,邹金凤,女,47.0,43.0,44.0,84.0,47.0,88.0
2308024945,23080267,管敏,女,94.0,76.0,55.0,63.0,74.0,83.0
2308024016,23080280,袁华,女,47.0,52.0,57.0,76.0,88.0,75.0
2308024073,23080297,曾平,女,90.0,85.0,57.0,50.0,65.0,48.0
2308024031,23080289,施琴,女,49.0,48.0,81.0,44.0,54.0,95.0
2308024810,23080285,倪金凤,女,47.0,65.0,42.0,70.0,80.0,85.0
2308024657,23080280,王婷,女,88.0,52.0,90.0,49.0,99.0,99.0
2308024280,23080282,郭玉兰,男,99.0,93.0,45.0,60.0,81.0,68.0
2308024878,23080235,俞明,女,60.0,62.0,58.0,64.0,49.0,70.0
2308024070,23080230,程博,女,76.0,97.0,58.0,84.0,65.0,60.0
2308024392,23080298,陈涛,男,69.0,72.0,57.0,68.0,80.0,60.0
2308024664,23080276,王柳,女,76.0,44.0,84.0,41.0,71.0,77.0
2308024904,23080222,李芳,女,62.0,46.0,64.0,47.0,57.0,70.0
2308024006,23080297,张兵,男,53.0,90.0,44.0,88.0,73.0,72.0
2308024940,23080229,程倩,男,96.0,95.0,55.0,58.0,69.0,59.0
2308024556,23080277,赵涛,男,74.0,91.0,67.0,73.0,82.0,48.0
2308024031,23080204,冯小红,男,49.0,44.0,82.0,89.0,78.0,100.0
2308024669,23080250,张凤兰,女,72.0,48.0,68.0,68.0,82.0,100.0
2308024732,23080291,龚桂芳,女,91.0,42.0,83.0,65.0,66.0,73.0
2308024209,23080241,蔡淑珍,男,68.0,57.0,69.0,69.0,60.0,50.0
2308024968,23080228,周磊,女,42.0,54.0,71.0,65.0,81.0,65.0
2308024429,23080243,李梅,女,92.0,82.0,79.0,79.0,78.0,47.0
2308024820,23080234,张燕,女,86.0,50.0,90.0,85.0,70.0,55.0
2308024035,23080223,吴春梅,女,55.0,95.0,77.0,51.0,90.0,59.0
2308024016,23080218,方英,男,81.0,44.0,60.0,79.0,91.0,53.0
2308024665,23080269,李斌,男,47.0,53.0,82.0,59.0,46.0,68.0
2308024681,23080278,王勇,男,60.0,45.0,52.0,94.0,83.0,90.0
2308024409,23080209,张琴,女,90.0,74.0,53.0,99.0,65.0,92.0
2308024016,23080209,谢鹏,女,54.0,81.0,99.0,80.0,87.0,75.0
2308024822,23080283,徐岩,男,81.0,54.0,79.0,79.0,57.0,42.0
2308024391,23080299,邓波,男,70.0,91.0,73.0,63.0,94.0,44.0
2308024155,23080285,陈成,男,76.0,43.0,63.0,83.0,44.0,88.0
2308024070,23080286,郑志强,男,90.0,74.0,94.0,56.0,67.0,82.0
2308024642,23080245,黄玉,女,74.0,58.0,55.0,66.0,55.0,77.0
2308024956,23080266,沈林,男,68.0,69.0,94.0,87.0,88.0,97.0
2308024998,23080263,洪娟,女,71.0,81.0,98.0,44.0,53.0,89.0
2308024133,23080287,萧淑英,男,53.0,42.0,78.0,90.0,40.0,62.0
2308024106,23080268,张浩,女,75.0,94.0,99.0,42.0,54.0,84.0
2308024036,23080264,赵娟,男,44.0,75.0,47.0,90.0,42.0,96.0
2308024483,23080239,廖红梅,男,76.0,55.0,76.0,98.0,85.0,51.0
2308024534,23080254,余秀珍,男,93.0,72.0,75.0,86.0,81.0,41.0
2308024418,23080214,陈建,女,87.0,63.0,85.0,45.0,71.0,95.0
2308024804,23080212,岑冬梅,男,74.0,65.0,68.0,46.0,86.0,74.0
2308024296,23080204,宋志强,男,44.0,88.0,42.0,91.0,49.0,75.0
2308024831,23080298,杜娟,女,40.0,40.0,67.0,92.0,97.0,78.0
2308024322,23080272,郭秀英,男,95.0,57.0,96.0,49.0,91.0,49.0
2308024902,23080264,李雷,女,59.0,69.0,99.0,47.0,46.0,71.0
2308024175,23080257,范桂兰,女,50.0,98.0,62.0,84.0,77.0,90.0
2308024473,23080277,李辉,女,55.0,65.0,48.0,71.0,93.0,94.0
2308024605,23080200,林琴,男,93.0,98.0,68.0,72.0,87.0,78.0
2308024115,23080214,陈亮,男,41.0,60.0,40.0,60.0,45.0,82.0
2308024682,23080215,张婷,女,85.0,58.0,56.0,47.0,65.0,88.0
2308024251,23080200,徐岩,男,40.0,65.0,70.0,55.0,41.0,83.0
2308024028,23080228,石凤兰,男,49.0,69.0,66.0,81.0,85.0,59.0
2308024931,23080295,严晨,女,78.0,74.0,80.0,56.0,75.0,77.0
2308024888,23080215,王晶,女,47.0,61.0,91.0,97.0,76.0,86.0
2308024026,23080248,高洁,女,96.0,72.0,63.0,46.0,95.0,80.0
2308024736,23080201,王伟,男,61.0,87.0,74.0,62.0,51.0,95.0
2308024891,23080272,庞梅,女,69.0,62.0,74.0,60.0,45.0,82.0
2308024514,23080292,毛秀英,男,87.0,64.0,71.0,84.0,99.0,44.0
2308024513,23080240,杨艳,男,74.0,96.0,75.0,52.0,71.0,70.0
2308024963,23080243,单波,男,89.0,57.0,85.0,75.0,55.0,49.0
2308024712,23080205,万桂芝,女,65.0,58.0,45.0,68.0,79.0,96.0
2308024579,23080222,武鹏,男,59.0,67.0,73.0,83.0,51.0,42.0
2308024770,23080254,靳颖,男,92.0,94.0,99.0,63.0,90.0,98.0
2308024707,23080287,张萍,男,56.0,54.0,98.0,55.0,92.0,69.0
2308024800,23080262,陈桂芳,男,41.0,88.0,50.0,52.0,73.0,96.0
2308024101,23080248,章丹丹,男,71.0,59.0,41.0,90.0,82.0,70.0
2308024712,23080210,阮静,女,56.0,86.0,71.0,43.0,62.0,46.0
2308024331,23080237,康林,女,68.0,76.0,96.0,94.0,75.0,40.0
2308024820,23080214,欧洋,男,87.0,81.0,47.0,56.0,53.0,52.0
2308024469,23080257,宋建华,男,78.0,46.0,96.0,59.0,90.0,51.0
2308024859,23080284,左俊,男,71.0,46.0,73.0,74.0,43.0,80.0
2308024696,23080202,宋春梅,男,71.0,97.0,100.0,71.0,66.0,45.0
2308024776,23080289,吴阳,女,67.0,40.0,100.0,51.0,73.0,69.0
2308024736,23080249,沈鑫,女,82.0,85.0,45.0,87.0,92.0,91.0
2308024859,23080260,林岩,女,43.0,81.0,88.0,73.0,45.0,99.0
2308024173,23080277,霍桂芳,男,95.0,87.0,75.0,51.0,97.0,92.0
2308024769,23080290,杨彬,女,69.0,88.0,46.0,45.0,96.0,82.0
2308024609,23080276,李娟,男,89.0,91.0,54.0,100.0,83.0,50.0
2308024449,23080223,陈燕,女,58.0,79.0,62.0,71.0,48.0,86.0
2308024849,23080257,李波,女,68.0,58.0,43.0,98.0,75.0,75.0
2308024450,23080223,高楠,女,93.0,67.0,84.0,45.0,72.0,48.0
2308024600,23080203,李淑华,女,53.0,50.0,90.0,56.0,79.0,95.0
2308024983,23080247,蔡辉,女,72.0,45.0,86.0,47.0,97.0,43.0
2308024766,23080234,李坤,女,67.0,41.0,59.0,62.0,88.0,81.0
2308024951,23080229,王桂英,男,73.0,48.0,78.0,60.0,91.0,53.0
2308024315,23080289,李秀珍,女,79.0,99.0,75.0,80.0,77.0,78.0
2308024536,23080242,许浩,女,80.0,52.0,63.0,68.0,50.0,98.0
2308024636,23080211,杨秀云,男,71.0,98.0,65.0,90.0,73.0,47.0
2308024409,23080252,何颖,男,41.0,50.0,45.0,64.0,41.0,54.0
2308024627,23080234,杨岩,女,81.0,81.0,62.0,42.0,52.0,75.0
2308024510,23080245,高桂英,男,76.0,88.0,81.0,54.0,53.0,71.0
2308024623,23080225,邹婷,男,61.0,86.0,44.0,97.0,54.0,74.0
2308024783,23080236,张敏,男,68.0,85.0,94.0,85.0,65.0,45.0
2308024014,23080247,陈伟,女,99.0,90.0,47.0,77.0,72.0,61.0
2308024791,23080295,吴宁,女,85.0,88.0,66.0,57.0,84.0,75.0
2308024877,23080286,谢柳,女,60.0,69.0,66.0,40.0,71.0,65.0
2308024085,23080218,仇想,男,82.0,65.0,66.0,79.0,88.0,49.0
2308024201,23080218,钟桂荣,男,92.0,54.0,43.0,74.0,89.0,90.0
2308024722,23080200,韦梅,女,71.0,54.0,84.0,62.0,92.0,99.0
2308024586,23080295,徐桂珍,女,71.0,94.0,63.0,51.0,50.0,59.0
2308024339,23080209,严帅,男,89.0,95.0,98.0,84.0,73.0,65.0
2308024042,23080239,舒桂芳,男,64.0,59.0,67.0,40.0,87.0,43.0
2308024995,23080264,佟琴,男,99.0,67.0,76.0,94.0,80.0,84.0
2308024831,23080260,蒋玉,男,74.0,70.0,69.0,74.0,89.0,76.0
2308024342,23080248,李东,女,87.0,62.0,97.0,62.0,95.0,75.0
2308024124,23080289,崔彬,男,90.0,95.0,75.0,76.0,93.0,64.0
2308024073,23080287,马燕,男,99.0,79.0,45.0,56.0,67.0,94.0
2308024212,23080200,谭华,女,63.0,90.0,46.0,52.0,91.0,52.0
2308024337,23080241,周晨,女,70.0,54.0,66.0,66.0,42.0,57.0
2308024870,23080295,谢丽华,女,61.0,81.0,73.0,95.0,61.0,46.0
2308024081,23080274,王秀芳,女,99.0,77.0,93.0,83.0,67.0,99.0
2308024599,23080213,田勇,女,52.0,78.0,95.0,46.0,67.0,77.0
2308024158,23080240,郝秀珍,男,100.0,97.0,78.0,57.0,96.0,100.0
2308024786,23080221,刘浩,女,50.0,88.0,98.0,54.0,75.0,92.0
2308024983,23080236,李刚,男,72.0,87.0,66.0,84.0,68.0,90.0
2308024840,23080239,郭红霞,女,79.0,51.0,81.0,78.0,44.0,65.0
2308024598,23080245,杨想,女,94.0,55.0,61.0,81.0,46.0,57.0
2308024726,23080229,苏燕,女,92.0,76.0,93.0,43.0,53.0,99.0
2308024421,23080219,王海燕,女,79.0,88.0,56.0,76.0,56.0,69.0
2308024002,23080290,吴鑫,女,97.0,72.0,86.0,78.0,99.0,60.0
2308024092,23080209,朱萍,女,74.0,67.0,44.0,69.0,92.0,72.0
2308024336,23080232,萧淑珍,女,61.0,87.0,57.0,64.0,69.0,52.0
2308024844,23080248,陈涛,男,62.0,80.0,61.0,92.0,66.0,82.0
2308024606,23080257,庄玉兰,女,51.0,54.0,45.0,91.0,73.0,90.0
2308024954,23080224,余玉华,男,49.0,56.0,68.0,69.0,71.0,70.0
2308024406,23080256,曹辉,男,58.0,70.0,86.0,58.0,54.0,75.0
2308024893,23080213,王岩,男,49.0,48.0,46.0,81.0,91.0,60.0
2308024461,23080257,张桂荣,女,65.0,87.0,81.0,47.0,75.0,88.0
2308024242,23080273,刘雪,男,55.0,52.0,48.0,47.0,74.0,52.0
2308024885,23080202,陈博,女,80.0,84.0,99.0,80.0,82.0,73.0
2308024001,23080281,林丽,女,68.0,53.0,75.0,64.0,60.0,46.0
2308024178,23080237,冯秀华,女,41.0,60.0,49.0,66.0,71.0,78.0
2308024005,23080268,常玉,女,97.0,43.0,90.0,59.0,69.0,59.0
2308024233,23080260,王帆,女,92.0,87.0,51.0,66.0,97.0,92.0
2308024798,23080290,杨淑兰,女,93.0,80.0,70.0,65.0,81.0,82.0
2308024899,23080298,方小红,男,50.0,43.0,49.0,79.0,85.0,88.0
2308024647,23080246,黄雪梅,男,78.0,71.0,67.0,77.0,85.0,74.0
2308024091,23080259,郭建,男,75.0,76.0,73.0,81.0,99.0,94.0
2308024037,23080289,顾瑜,男,59.0,40.0,44.0,55.0,52.0,50.0
2308024221,23080270,宣飞,女,69.0,61.0,84.0,80.0,48.0,70.0
2308024995,23080290,李畅,男,57.0,88.0,63.0,50.0,43.0,46.0
2308024054,23080286,刘春梅,男,68.0,56.0,75.0,96.0,85.0,45.0
2308024825,23080248,林凤英,女,81.0,62.0,98.0,63.0,64.0,60.0
2308024425,23080255,刘丽,女,97.0,40.0,44.0,62.0,74.0,73.0
2308024471,23080270,段萍,男,84.0,91.0,44.0,48.0,85.0,51.0
2308024968,23080290,高秀珍,女,81.0,98.0,83.0,67.0,55.0,67.0
2308024228,23080274,廖红霞,男,89.0,47.0,76.0,51.0,98.0,53.0
2308024468,23080239,廖斌,女,78.0,89.0,66.0,86.0,93.0,56.0
2308024798,23080235,李秀英,女,99.0,70.0,41.0,53.0,97.0,63.0
2308024702,23080294,莫云,女,74.0,74.0,65.0,94.0,59.0,79.0
2308024439,23080200,王莹,女,50.0,49.0,93.0,85.0,83.0,74.0
2308024298,23080281,胡桂珍,女,60.0,88.0,84.0,65.0,56.0,50.0
2308024513,23080206,罗凤英,男,46.0,91.0,40.0,92.0,67.0,84.0
2308024824,23080298,陈刚,男,87.0,79.0,68.0,48.0,79.0,70.0
2308024771,23080288,孙淑兰,男,50.0,76.0,64.0,80.0,65.0,61.0
2308024715,23080221,潘秀梅,男,83.0,90.0,86.0,83.0,40.0,83.0
2308024765,23080296,任玉英,女,94.0,44.0,48.0,88.0,81.0,90.0
2308024539,23080230,丁杨,男,72.0,97.0,85.0,97.0,65.0,65.0
2308024517,23080244,刘秀芳,男,47.0,86.0,99.0,87.0,99.0,95.0
2308024127,23080229,沈平,女,57.0,51.0,65.0,90.0,42.0,67.0
2308024235,23080247,张建军,男,56.0,42.0,85.0,96.0,91.0,54.0
2308024812,23080262,陈璐,男,67.0,49.0,97.0,68.0,70.0,90.0
2308024548,23080287,王晶,男,53.0,63.0,68.0,80.0,41.0,78.0
2308024522,23080245,俞洁,女,91.0,60.0,79.0,90.0,75.0,45.0
2308024900,23080263,张刚,男,97.0,54.0,56.0,72.0,78.0,66.0
2308024351,23080215,林畅,女,91.0,50.0,84.0,67.0,70.0,54.0
2308024253,23080210,吴玉英,女,52.0,73.0,81.0,77.0,68.0,54.0
2308024294,23080246,汤玉,女,96.0,79.0,94.0,99.0,84.0,84.0
2308024328,23080276,巫建华,女,93.0,78.0,84.0,40.0,64.0,99.0
2308024256,23080256,柳宇,女,82.0,40.0,87.0,50.0,76.0,78.0
2308024617,23080242,李明,男,78.0,68.0,51.0,80.0,74.0,91.0
2308024462,23080252,曹倩,男,90.0,87.0,42.0,49.0,71.0,65.0
2308024942,23080250,沈淑珍,女,49.0,91.0,80.0,63.0,50.0,47.0
2308024625,23080229,马欢,男,50.0,66.0,49.0,84.0,99.0,52.0
2308024844,23080239,郑淑华,女,56.0,69.0,44.0,63.0,72.0,64.0
2308024711,23080230,蓝桂芳,男,44.0,56.0,62.0,60.0,77.0,52.0
2308024727,23080263,吴瑞,男,45.0,58.0,89.0,63.0,51.0,54.0
2308024603,23080297,彭建,男,94.0,62.0,49.0,62.0,93.0,53.0
2308024491,23080211,程洁,男,53.0,66.0,55.0,94.0,76.0,68.0
2308024441,23080257,李桂荣,女,56.0,74.0,74.0,98.0,88.0,70.0
2308024771,23080293,曹龙,男,77.0,89.0,98.0,82.0,80.0,99.0
2308024476,23080258,岳桂香,男,79.0,84.0,49.0,41.0,94.0,77.0
2308024332,23080275,韩萍,男,55.0,86.0,89.0,44.0,43.0,73.0
2308024239,23080299,胡倩,女,42.0,93.0,46.0,76.0,56.0,53.0
2308024130,23080208,陈玉梅,女,93.0,95.0,79.0,99.0,68.0,90.0
2308024686,23080276,王建国,男,84.0,42.0,59.0,65.0,88.0,97.0
2308024177,23080299,张玉英,男,58.0,81.0,48.0,86.0,61.0,53.0
2308024190,23080212,陈鑫,男,99.0,52.0,96.0,54.0,87.0,72.0
2308024673,23080284,秦亮,女,81.0,96.0,84.0,74.0,98.0,87.0
2308024462,23080275,刘志强,男,52.0,100.0,77.0,73.0,50.0,69.0
2308024451,23080260,张淑珍,女,61.0,99.0,62.0,68.0,66.0,82.0
2308024321,23080292,卢欣,男,48.0,60.0,79.0,89.0,55.0,69.0
2308024247,23080275,张倩,女,76.0,58.0,57.0,64.0,56.0,98.0
2308024938,23080296,王春梅,女,82.0,99.0,40.0,88.0,90.0,66.0
2308024219,23080297,李博,男,49.0,59.0,49.0,79.0,84.0,53.0
2308024903,23080251,徐刚,女,75.0,71.0,61.0,63.0,88.0,64.0
2308024317,23080237,陈瑞,男,55.0,40.0,83.0,99.0,99.0,46.0
2308024061,23080238,武淑珍,男,73.0,43.0,65.0,81.0,74.0,98.0
2308024005,23080297,曹小红,女,41.0,48.0,63.0,84.0,83.0,51.0
2308024973,23080227,覃文,男,84.0,81.0,72.0,67.0,94.0,82.0
2308024303,23080260,邓桂英,男,50.0,60.0,42.0,66.0,71.0,47.0
2308024176,23080299,凌玉华,男,41.0,67.0,86.0,79.0,62.0,86.0
2308024929,23080223,王丹,女,79.0,69.0,73.0,77.0,66.0,41.0
2308024029,23080228,薛飞,男,74.0,89.0,67.0,84.0,54.0,90.0
2308024172,23080205,马瑜,女,52.0,46.0,70.0,97.0,67.0,41.0
2308024086,23080289,陈桂兰,女,83.0,46.0,50.0,70.0,55.0,48.0
2308024720,23080255,邓勇,男,84.0,78.0,53.0,52.0,57.0,58.0
2308024263,23080262,牟利,男,67.0,96.0,95.0,52.0,77.0,53.0
2308024710,23080253,陈秀荣,女,47.0,77.0,100.0,68.0,51.0,67.0
2308024539,23080252,吕金凤,男,59.0,99.0,65.0,73.0,85.0,87.0
2308024297,23080220,熊晨,男,75.0,97.0,77.0,67.0,56.0,91.0
2308024698,23080201,李萍,男,65.0,83.0,88.0,44.0,91.0,74.0
2308024702,23080220,马洋,女,51.0,43.0,71.0,55.0,93.0,42.0
2308024916,23080207,陈冬梅,男,87.0,94.0,91.0,71.0,93.0,74.0
2308024852,23080248,赖梅,女,68.0,96.0,89.0,58.0,63.0,81.0
2308024103,23080214,曹芳,女,100.0,52.0,45.0,61.0,88.0,73.0
2308024524,23080236,王洁,女,77.0,60.0,64.0,53.0,77.0,70.0
2308024854,23080207,贺佳,男,94.0,58.0,60.0,53.0,85.0,90.0
2308024831,23080290,程涛,男,95.0,63.0,98.0,42.0,60.0,90.0
2308024710,23080239,苏秀珍,男,68.0,66.0,73.0,53.0,85.0,70.0
2308024623,23080259,邢丽娟,男,96.0,55.0,47.0,66.0,46.0,91.0
2308024738,23080216,姜春梅,男,100.0,72.0,50.0,59.0,53.0,86.0
2308024779,23080274,李彬,女,58.0,85.0,68.0,88.0,88.0,79.0
2308024319,23080214,李瑜,女,70.0,92.0,61.0,50.0,70.0,79.0
2308024638,23080261,吴文,男,52.0,95.0,45.0,70.0,66.0,59.0
